"Small Unit Installation Postcode","number_of_installations","total_output_kw","postcode","longitude","latitude","state"
"6352",30,231.855,"6352",118.086163,-33.185465,"WA"
"6353",133,853.555,"6353",118.510341,-33.131383,"WA"
"6355",71,486.005,"6355",119.098339,-33.032688,"WA"
"6356",20,126.335,"6356",120.1323996,-32.88527809,"WA"
"6357",13,64.075,"6357",118.724162,-32.80966,"WA"
"6358",5,40.015,"6358",118.671921,-32.483917,"WA"
"6359",66,493.805,"6359",119.311209,-32.42539,"WA"
"6361",14,70.17,"6361",117.7572,-32.9894,"WA"
"6363",22,90.74,"6363",118.004212,-32.919792,"WA"
"6365",102,489.205,"6365",118.288784,-32.723142,"WA"
"6367",45,302.615,"6367",118.351936,-32.422646,"WA"
"6368",11,57.41,"6368",118.339949,-32.189465,"WA"
"6369",149,992.8,"6369",118.806453,-32.023679,"WA"
"6370",75,314.015,"6370",117.626013,-32.80605,"WA"
"6372",29,111.935,"6372",117.7634,-32.6418,"WA"
"6373",12,66.615,"6373",117.763902,-32.495421,"WA"
"6375",236,1216.846,"6375",117.879836,-32.286284,"WA"
"6383",202,902.099,"6383",117.406271,-31.951084,"WA"
"6384",4,22.34,"6384",117.666205,-31.955552,"WA"
"6385",5,30.56,"6385",117.747301,-31.902072,"WA"
"6386",9,42.155,"6386",117.815142,-31.950074,"WA"
"6390",375,2055.682,"6390",116.413369,-32.805438,"WA"
"6391",150,966.276,"6391",116.773204,-33.0633,"WA"
"6392",83,438.754,"6392",116.625294,-33.400929,"WA"
"6393",25,134.02,"6393",116.85396,-33.538228,"WA"
"6394",36,373.205,"6394",116.972036,-33.83319,"WA"
"6395",247,1519.989,"6395",117.065276,-33.885153,"WA"
"6396",32,247.6,"6396",117.096189,-34.372016,"WA"
"6397",30,220.21,"6397",116.955359,-34.543671,"WA"
"6398",104,563.553,"6398",116.604043,-34.788611,"WA"
"6401",1517,8929.472,"6401",116.681727,-31.640292,"WA"
"6403",45,220.045,"6403",116.797476,-31.643902,"WA"
"6405",52,266.25,"6405",117.020194,-31.605825,"WA"
"6407",186,1263.751,"6407",117.222062,-31.651142,"WA"
"6409",53,285.24,"6409",117.471029,-31.605391,"WA"
"6410",187,1002.532,"6410",117.679993,-31.579991,"WA"
"6411",17,91.62,"6411",117.905311,-31.550535,"WA"
"6412",11,78.805,"6412",117.979823,-31.601076,"WA"
"6413",7,35,"6413",118.064042,-31.555637,"WA"
"6414",6,44.762,"6414",118.167797,-31.526755,"WA"
"6415",546,3007.842,"6415",118.289983,-31.481223,"WA"
"6418",198,1026.35,"6418",118.1626,-31.895542,"WA"
"6419",12,51.135,"6419",118.097777,-32.031182,"WA"
"6420",7,29.25,"6420",118.718262,-31.748338,"WA"
"6421",22,128.841,"6421",118.524208,-31.327544,"WA"
"6422",5,26.68,"6422",118.564405,-31.384119,"WA"
"6423",72,377.55,"6423",118.681242,-31.169257,"WA"
"6424",11,58.7,"6424",118.896267,-31.296345,"WA"
"6425",22,139.98,"6425",119.143202,-31.398146,"WA"
"6426",158,965.535,"6426",119.311267,-30.361305,"WA"
"6427",2,8.25,"6427",119.540903,-30.850566,"WA"
"6428",17,117.125,"6428",118.020545,-32.142001,"WA"
"6429",150,1005.005,"6429",120.898892,-30.949795,"WA"
"6430",2319,14843.615,"6430",121.446478,-30.599071,"WA"
"6431",13,69.865,"6431",122.683881,-30.40364,"WA"
"6432",828,4659.128,"6432",121.541783,-30.871011,"WA"
"6433",7,26.165,"6433",121.504749,-30.78247,"WA"
"6434",13,93,"6434",125.672818,-30.820157,"WA"
"6436",14,211.695,"6436",124.856838,-29.602251,"WA"
"6437",189,328.65,"6437",120.529798,-27.68439,"WA"
"6438",69,562.445,"6438",121.092655,-28.900034,"WA"
"6440",31,446.575,"6440",125.733157,-26.168944,"WA"
"6442",208,1475.285,"6442",121.997641,-31.318648,"WA"
"6443",60,487.59,"6443",123.744186,-32.39502,"WA"
"6445",6,60.505,"6445",121.638735,-32.981696,"WA"
"6446",7,67.49,"6446",121.682321,-33.223445,"WA"
"6447",15,155.895,"6447",121.732214,-33.451323,"WA"
"6448",15,90.245,"6448",121.798896,-33.650554,"WA"
"6450",1006,6035.225,"6450",122.211127,-33.401152,"WA"
"6452",1,6.6,"6452",122.895,-32.91833,"WA"
"6460",148,814.331,"6460",116.779032,-31.266649,"WA"
"6461",102,588.11,"6461",117.083327,-31.140717,"WA"
"6462",11,63.268,"6462",117.204349,-31.125288,"WA"
"6463",2,13.1,"6463",117.249295,-31.126499,"WA"
"6465",8,48.72,"6465",117.071157,-30.859977,"WA"
"6466",13,93.56,"6466",117.100375,-30.719092,"WA"
"6467",4,20.06,"6467",117.153374,-30.561306,"WA"
"6468",37,326.04,"6468",117.144456,-30.214559,"WA"
"6472",33,252.08,"6472",117.789878,-30.261439,"WA"
"6473",8,24.34,"6473",118.13352,-30.488998,"WA"
"6475",73,444.915,"6475",117.440487,-30.613981,"WA"
"6476",9,52.325,"6476",117.679166,-30.764934,"WA"
"6477",36,225.28,"6477",117.93876,-30.775956,"WA"
"6479",117,680.435,"6479",118.448501,-30.748419,"WA"
"6480",3,12.52,"6480",118.22061,-31.290084,"WA"
"6484",11,69.46,"6484",119.078912,-30.960681,"WA"
"6485",107,473.28,"6485",117.381055,-31.184717,"WA"
"6487",5,19.495,"6487",117.660055,-31.168259,"WA"
"6488",43,219.87,"6488",117.735836,-31.127571,"WA"
"6489",15,73.11,"6489",117.945624,-31.12327,"WA"
"6490",38,196.16,"6490",118.107061,-31.161835,"WA"
"6501",312,2078.165,"6501",115.945497,-31.541813,"WA"
"6502",391,2189.766,"6502",116.184272,-31.297561,"WA"
"6503",687,5815.851,"6503",115.82111,-31.237406,"WA"
"6504",41,242.235,"6504",116.042298,-31.310791,"WA"
"6505",25,123.793,"6505",116.104431,-31.161423,"WA"
"6506",20,664.69,"6506",116.110277,-31.070282,"WA"
"6507",143,1848.42,"6507",115.718713,-30.72155,"WA"
"6509",13,113.225,"6509",116.252618,-30.912266,"WA"
"6510",356,2168.245,"6510",116.090272,-30.701145,"WA"
"6511",161,893.244,"6511",115.250201,-30.568116,"WA"
"6512",13,74.845,"6512",116.070173,-30.446675,"WA"
"6513",30,156.545,"6513",116.060619,-30.27368,"WA"
"6514",218,1148.085,"6514",115.087155,-30.027371,"WA"
"6515",59,447.72,"6515",115.856422,-29.967278,"WA"
"6516",658,3912.814,"6516",115.20926,-30.22554,"WA"
"6517",92,528.06,"6517",115.839422,-29.740667,"WA"
"6518",47,388.825,"6518",115.180736,-29.774917,"WA"
"6519",119,683.149,"6519",115.597715,-29.514304,"WA"
"6521",91,960.135,"6521",115.640925,-30.348514,"WA"
"6522",113,737.12,"6522",115.485567,-29.139369,"WA"
"6525",901,4620.401,"6525",115.098073,-29.327323,"WA"
"6528",99,499.715,"6528",114.815184,-28.985892,"WA"
"6530",5905,30313.95,"6530",114.862505,-28.802491,"WA"
"6531",8,36,"6531",115.740693,-32.278396,"WA"
"6532",1367,7737.61,"6532",115.004595,-28.440886,"WA"
"6535",395,2480.53,"6535",114.852437,-27.832196,"WA"
